DISTRITO;COD_PAIS;NOME_PAIS;ETAPA;REDE;QTDE;Nível padronizado;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;nivel_subprefeitura
ALTO DE PINHEIROS;42;CHINA;CRECHE;CON;1;Educação Infantil;ALTO DE PINHEIROS;11;PINHEIROS;Educação Infantil|PINHEIROS
ALTO DE PINHEIROS;226;SERRA LEOA;CRECHE;CON;1;Educação Infantil;ALTO DE PINHEIROS;11;PINHEIROS;Educação Infantil|PINHEIROS
BUTANTA;26;COLÔMBIA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;31;BÉLGICA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;36;ESTADOS UNIDOS DA AMÉRICA (EUA);CRECHE;CON;2;Educação Infantil;BUTANTA;10;BUTANTA;Educação Infantil|BUTANTA
BUTANTA;52;CUBA;CRECHE;CON;1;Educação Infantil;BUTANTA;10;BUTANTA;Educação Infantil|BUTANTA
BUTANTA;85;MÉXICO;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;89;PERU;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;EJA;DIR;2;Educação de Jovens e Adultos;BUTANTA;10;BUTANTA;Educação de Jovens e Adultos|BUTANTA
BUTANTA;92;VENEZUELA;FUND;DIR;2;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;92;VENEZUELA;PRE;DIR;1;Educação Infantil;BUTANTA;10;BUTANTA;Educação Infantil|BUTANTA
BUTANTA;110;INGLATERRA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;110;INGLATERRA;FUND;DIR;1;Ensino Fundamental;BUTANTA;10;BUTANTA;Ensino Fundamental|BUTANTA
BUTANTA;119;NORUEGA;PRE;DIR;1;Educação Infantil;BUTANTA;10;BUTANTA;Educação Infantil|BUTANTA
BUTANTA;165;UCRÂNIA;EJA;DIR;1;Educação de Jovens e Adultos;BUTANTA;10;BUTANTA;Educação de Jovens e Adultos|BUTANTA
BUTANTA;217;QUÊNIA;CRECHE;CON;1;Educação Infantil;BUTANTA;10;BUTANTA;Educação Infantil|BUTANTA
BUTANTA;241;AFEGANISTÃO;EJA;DIR;1;Educação de Jovens e Adultos;BUTANTA;10;BUTANTA;Educação de Jovens e Adultos|BUTANTA
BUTANTA;348;RÚSSIA;CRECHE;CON;1;Educação Infantil;BUTANTA;10;BUTANTA;Educação Infantil|BUTANTA
BUTANTA;349;SENEGAL;EJA;DIR;1;Educação de Jovens e Adultos;BUTANTA;10;BUTANTA;Educação de Jovens e Adultos|BUTANTA
ITAIM BIBI;21;ARGENTINA;FUND;DIR;1;Ensino Fundamental;ITAIM BIBI;11;PINHEIROS;Ensino Fundamental|PINHEIROS
ITAIM BIBI;23;CHILE;CRECHE;CON;1;Educação Infantil;ITAIM BIBI;11;PINHEIROS;Educação Infantil|PINHEIROS
ITAIM BIBI;24;PARAGUAI;PRE;DIR;1;Educação Infantil;ITAIM BIBI;11;PINHEIROS;Educação Infantil|PINHEIROS
ITAIM BIBI;25;URUGUAI;FUND;DIR;1;Ensino Fundamental;ITAIM BIBI;11;PINHEIROS;Ensino Fundamental|PINHEIROS
ITAIM BIBI;41;JAPÃO;CRECHE;CON;1;Educação Infantil;ITAIM BIBI;11;PINHEIROS;Educação Infantil|PINHEIROS
ITAIM BIBI;85;MÉXICO;CRECHE;CON;1;Educação Infantil;ITAIM BIBI;11;PINHEIROS;Educação Infantil|PINHEIROS
ITAIM BIBI;85;MÉXICO;FUND;DIR;1;Ensino Fundamental;ITAIM BIBI;11;PINHEIROS;Ensino Fundamental|PINHEIROS
ITAIM BIBI;85;MÉXICO;FUND;DIR;1;Ensino Fundamental;ITAIM BIBI;11;PINHEIROS;Ensino Fundamental|PINHEIROS
ITAIM BIBI;89;PERU;FUND;DIR;1;Ensino Fundamental;ITAIM BIBI;11;PINHEIROS;Ensino Fundamental|PINHEIROS
ITAIM BIBI;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;ITAIM BIBI;11;PINHEIROS;Ensino Fundamental|PINHEIROS
ITAIM BIBI;213;NIGÉRIA;CRECHE;CON;1;Educação Infantil;ITAIM BIBI;11;PINHEIROS;Educação Infantil|PINHEIROS
ITAIM BIBI;264;LÍBANO;FUND;DIR;1;Ensino Fundamental;ITAIM BIBI;11;PINHEIROS;Ensino Fundamental|PINHEIROS
ITAIM BIBI;348;RÚSSIA;CRECHE;CON;1;Educação Infantil;ITAIM BIBI;11;PINHEIROS;Educação Infantil|PINHEIROS
JARDIM PAULISTA;175;ANGOLA;PRE;DIR;1;Educação Infantil;JARDIM PAULISTA;11;PINHEIROS;Educação Infantil|PINHEIROS
JARDIM PAULISTA;209;MAURITÂNIA;PRE;DIR;1;Educação Infantil;JARDIM PAULISTA;11;PINHEIROS;Educação Infantil|PINHEIROS
MORUMBI;22;BOLÍVIA;CRECHE;CON;2;Educação Infantil;MORUMBI;10;BUTANTA;Educação Infantil|BUTANTA
MORUMBI;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;MORUMBI;10;BUTANTA;Ensino Fundamental|BUTANTA
MORUMBI;36;ESTADOS UNIDOS DA AMÉRICA (EUA);CRECHE;CON;1;Educação Infantil;MORUMBI;10;BUTANTA;Educação Infantil|BUTANTA
MORUMBI;92;VENEZUELA;FUND;DIR;2;Ensino Fundamental;MORUMBI;10;BUTANTA;Ensino Fundamental|BUTANTA
MORUMBI;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;MORUMBI;10;BUTANTA;Ensino Fundamental|BUTANTA
PINHEIROS;35;ESPANHA;CRECHE;CON;1;Educação Infantil;PINHEIROS;11;PINHEIROS;Educação Infantil|PINHEIROS
RAPOSO TAVARES;22;BOLÍVIA;CRECHE;DIR;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;2;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;3;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;2;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;2;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;3;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;2;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;22;BOLÍVIA;PRE;DIR;5;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;23;CHILE;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;36;ESTADOS UNIDOS DA AMÉRICA (EUA);CRECHE;CON;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;36;ESTADOS UNIDOS DA AMÉRICA (EUA);FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;41;JAPÃO;CRECHE;CON;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;41;JAPÃO;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;45;PORTUGAL;CRECHE;CON;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;52;CUBA;CRECHE;CON;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;62;HAITI;EJA;DIR;2;Educação de Jovens e Adultos;RAPOSO TAVARES;10;BUTANTA;Educação de Jovens e Adultos|BUTANTA
RAPOSO TAVARES;62;HAITI;EJA;DIR;1;Educação de Jovens e Adultos;RAPOSO TAVARES;10;BUTANTA;Educação de Jovens e Adultos|BUTANTA
RAPOSO TAVARES;62;HAITI;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;89;PERU;CRECHE;CON;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;90;SURINAME;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;CRECHE;CON;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;CRECHE;CON;3;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;CRECHE;CON;2;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;CRECHE;DIR;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;4;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;5;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;2;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;4;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;FUND;DIR;2;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;92;VENEZUELA;PRE;DIR;5;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RAPOSO TAVARES;175;ANGOLA;FUND;DIR;2;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;175;ANGOLA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;213;NIGÉRIA;FUND;DIR;1;Ensino Fundamental;RAPOSO TAVARES;10;BUTANTA;Ensino Fundamental|BUTANTA
RAPOSO TAVARES;213;NIGÉRIA;PRE;DIR;1;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;21;ARGENTINA;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;22;BOLÍVIA;CRECHE;DIR;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;22;BOLÍVIA;CRECHE;DIR;2;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;22;BOLÍVIA;PRE;DIR;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;25;URUGUAI;CRECHE;DIR;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;26;COLÔMBIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;27;EQUADOR;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;41;JAPÃO;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;41;JAPÃO;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;45;PORTUGAL;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;45;PORTUGAL;MOVA;CON;1;Educação de Jovens e Adultos;RIO PEQUENO;10;BUTANTA;Educação de Jovens e Adultos|BUTANTA
RIO PEQUENO;52;CUBA;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;52;CUBA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;52;CUBA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;52;CUBA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;52;CUBA;PRE;DIR;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;62;HAITI;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;89;PERU;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;89;PERU;CRECHE;DIR;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;89;PERU;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;CRECHE;CON;2;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;92;VENEZUELA;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;92;VENEZUELA;CRECHE;DIR;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;6;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;6;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;3;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;2;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;3;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;4;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;7;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;5;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;FUND;DIR;2;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;92;VENEZUELA;PRE;DIR;4;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;110;INGLATERRA;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;173;ÁFRICA DO SUL;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;173;ÁFRICA DO SUL;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;173;ÁFRICA DO SUL;PRE;DIR;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;210;MOÇAMBIQUE;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;210;MOÇAMBIQUE;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;213;NIGÉRIA;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;213;NIGÉRIA;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;213;NIGÉRIA;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;213;NIGÉRIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;213;NIGÉRIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;213;NIGÉRIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;213;NIGÉRIA;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
RIO PEQUENO;241;AFEGANISTÃO;CRECHE;CON;1;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
RIO PEQUENO;241;AFEGANISTÃO;FUND;DIR;1;Ensino Fundamental;RIO PEQUENO;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA ANDRADE;24;PARAGUAI;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;24;PARAGUAI;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;24;PARAGUAI;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;24;PARAGUAI;PRE;DIR;3;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;35;ESPANHA;CRECHE;CON;1;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;39;ITÁLIA;CRECHE;CON;1;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;41;JAPÃO;PRE;DIR;1;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;62;HAITI;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;62;HAITI;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;62;HAITI;PRE;DIR;2;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;89;PERU;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;89;PERU;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;89;PERU;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;89;PERU;PRE;DIR;1;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;92;VENEZUELA;CRECHE;CON;1;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;92;VENEZUELA;EJA;DIR;1;Educação de Jovens e Adultos;VILA ANDRADE;17;CAMPO LIMPO;Educação de Jovens e Adultos|CAMPO LIMPO
VILA ANDRADE;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;92;VENEZUELA;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;92;VENEZUELA;PRE;DIR;2;Educação Infantil;VILA ANDRADE;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
VILA ANDRADE;213;NIGÉRIA;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA ANDRADE;213;NIGÉRIA;FUND;DIR;1;Ensino Fundamental;VILA ANDRADE;17;CAMPO LIMPO;Ensino Fundamental|CAMPO LIMPO
VILA SONIA;21;ARGENTINA;PRE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;22;BOLÍVIA;CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;22;BOLÍVIA;CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;22;BOLÍVIA;FUND;DIR;2;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;22;BOLÍVIA;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;22;BOLÍVIA;PRE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;23;CHILE;PRE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;26;COLÔMBIA;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;26;COLÔMBIA;PRE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;27;EQUADOR;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;27;EQUADOR;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;35;ESPANHA;CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;36;ESTADOS UNIDOS DA AMÉRICA (EUA);CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;36;ESTADOS UNIDOS DA AMÉRICA (EUA);CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;39;ITÁLIA;CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;41;JAPÃO;CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;41;JAPÃO;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;41;JAPÃO;PRE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;45;PORTUGAL;CRECHE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;45;PORTUGAL;PRE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;52;CUBA;CRECHE;CON;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
VILA SONIA;52;CUBA;FUND;DIR;1;Ensino Fundamental;VILA SONIA;10;BUTANTA;Ensino Fundamental|BUTANTA
VILA SONIA;52;CUBA;PRE;DIR;1;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
